file_id,reference_arrival_1based,reference_index_0based,sample_rate_hz,sample_interval_ms,source_file
59,469,468,1000,1,field_waveforms/59.txt
60,378,377,1000,1,field_waveforms/60.txt
61,303,302,1000,1,field_waveforms/61.txt
62,200,199,1000,1,field_waveforms/62.txt
63,491,490,1000,1,field_waveforms/63.txt
64,305,304,1000,1,field_waveforms/64.txt
65,601,600,1000,1,field_waveforms/65.txt
66,673,672,1000,1,field_waveforms/66.txt
67,302,301,1000,1,field_waveforms/67.txt
68,272,271,1000,1,field_waveforms/68.txt
69,356,355,1000,1,field_waveforms/69.txt
70,807,806,1000,1,field_waveforms/70.txt
71,711,710,1000,1,field_waveforms/71.txt
72,839,838,1000,1,field_waveforms/72.txt
73,371,370,1000,1,field_waveforms/73.txt
74,763,762,1000,1,field_waveforms/74.txt
75,867,866,1000,1,field_waveforms/75.txt
76,609,608,1000,1,field_waveforms/76.txt
77,572,571,1000,1,field_waveforms/77.txt
78,675,674,1000,1,field_waveforms/78.txt
79,728,727,1000,1,field_waveforms/79.txt
80,136,135,1000,1,field_waveforms/80.txt
81,984,983,1000,1,field_waveforms/81.txt
82,120,119,1000,1,field_waveforms/82.txt
83,549,548,1000,1,field_waveforms/83.txt
84,696,695,1000,1,field_waveforms/84.txt
85,491,490,1000,1,field_waveforms/85.txt
86,290,289,1000,1,field_waveforms/86.txt
87,445,444,1000,1,field_waveforms/87.txt
88,274,273,1000,1,field_waveforms/88.txt
89,534,533,1000,1,field_waveforms/89.txt
90,144,143,1000,1,field_waveforms/90.txt
91,476,475,1000,1,field_waveforms/91.txt
92,216,215,1000,1,field_waveforms/92.txt
93,522,521,1000,1,field_waveforms/93.txt
94,12,11,1000,1,field_waveforms/94.txt
95,508,507,1000,1,field_waveforms/95.txt
96,355,354,1000,1,field_waveforms/96.txt
97,556,555,1000,1,field_waveforms/97.txt
98,372,371,1000,1,field_waveforms/98.txt
99,609,608,1000,1,field_waveforms/99.txt
100,984,983,1000,1,field_waveforms/100.txt
101,75,74,1000,1,field_waveforms/101.txt
102,686,685,1000,1,field_waveforms/102.txt
103,475,474,1000,1,field_waveforms/103.txt
104,124,123,1000,1,field_waveforms/104.txt
105,942,941,1000,1,field_waveforms/105.txt
106,904,903,1000,1,field_waveforms/106.txt
107,691,690,1000,1,field_waveforms/107.txt
108,476,475,1000,1,field_waveforms/108.txt
109,272,271,1000,1,field_waveforms/109.txt
110,314,313,1000,1,field_waveforms/110.txt
111,302,301,1000,1,field_waveforms/111.txt
112,696,695,1000,1,field_waveforms/112.txt
113,884,883,1000,1,field_waveforms/113.txt
114,24,23,1000,1,field_waveforms/114.txt
115,962,961,1000,1,field_waveforms/115.txt
116,581,580,1000,1,field_waveforms/116.txt
117,36,35,1000,1,field_waveforms/117.txt
118,280,279,1000,1,field_waveforms/118.txt
119,3,2,1000,1,field_waveforms/119.txt
120,140,139,1000,1,field_waveforms/120.txt
121,165,164,1000,1,field_waveforms/121.txt
122,132,131,1000,1,field_waveforms/122.txt
123,124,123,1000,1,field_waveforms/123.txt
124,21,20,1000,1,field_waveforms/124.txt
125,68,67,1000,1,field_waveforms/125.txt
126,181,180,1000,1,field_waveforms/126.txt
127,28,27,1000,1,field_waveforms/127.txt
128,59,58,1000,1,field_waveforms/128.txt
129,59,58,1000,1,field_waveforms/129.txt
130,199,198,1000,1,field_waveforms/130.txt
131,50,49,1000,1,field_waveforms/131.txt
132,193,192,1000,1,field_waveforms/132.txt
133,74,73,1000,1,field_waveforms/133.txt
134,232,231,1000,1,field_waveforms/134.txt
135,92,91,1000,1,field_waveforms/135.txt
136,131,130,1000,1,field_waveforms/136.txt
137,5,4,1000,1,field_waveforms/137.txt
138,65,64,1000,1,field_waveforms/138.txt
139,90,89,1000,1,field_waveforms/139.txt
140,18,17,1000,1,field_waveforms/140.txt
141,9,8,1000,1,field_waveforms/141.txt
142,54,53,1000,1,field_waveforms/142.txt
143,214,213,1000,1,field_waveforms/143.txt
144,990,989,1000,1,field_waveforms/144.txt
145,426,425,1000,1,field_waveforms/145.txt
146,572,571,1000,1,field_waveforms/146.txt
147,51,50,1000,1,field_waveforms/147.txt
148,209,208,1000,1,field_waveforms/148.txt
149,76,75,1000,1,field_waveforms/149.txt
150,52,51,1000,1,field_waveforms/150.txt
151,31,30,1000,1,field_waveforms/151.txt
152,18,17,1000,1,field_waveforms/152.txt
153,63,62,1000,1,field_waveforms/153.txt
154,221,220,1000,1,field_waveforms/154.txt
155,19,18,1000,1,field_waveforms/155.txt
156,179,178,1000,1,field_waveforms/156.txt
157,171,170,1000,1,field_waveforms/157.txt
158,287,286,1000,1,field_waveforms/158.txt
159,700,699,1000,1,field_waveforms/159.txt
160,197,196,1000,1,field_waveforms/160.txt
161,682,681,1000,1,field_waveforms/161.txt
162,258,257,1000,1,field_waveforms/162.txt
163,111,110,1000,1,field_waveforms/163.txt
164,464,463,1000,1,field_waveforms/164.txt
165,893,892,1000,1,field_waveforms/165.txt
166,109,108,1000,1,field_waveforms/166.txt
167,298,297,1000,1,field_waveforms/167.txt
168,730,729,1000,1,field_waveforms/168.txt
169,841,840,1000,1,field_waveforms/169.txt
170,994,993,1000,1,field_waveforms/170.txt
171,825,824,1000,1,field_waveforms/171.txt
172,998,997,1000,1,field_waveforms/172.txt
173,133,132,1000,1,field_waveforms/173.txt
174,20,19,1000,1,field_waveforms/174.txt
175,260,259,1000,1,field_waveforms/175.txt
176,415,414,1000,1,field_waveforms/176.txt
177,528,527,1000,1,field_waveforms/177.txt
178,129,128,1000,1,field_waveforms/178.txt
179,398,397,1000,1,field_waveforms/179.txt
180,365,364,1000,1,field_waveforms/180.txt
181,407,406,1000,1,field_waveforms/181.txt
182,106,105,1000,1,field_waveforms/182.txt
183,138,137,1000,1,field_waveforms/183.txt
184,66,65,1000,1,field_waveforms/184.txt
185,365,364,1000,1,field_waveforms/185.txt
186,210,209,1000,1,field_waveforms/186.txt
187,285,284,1000,1,field_waveforms/187.txt
188,249,248,1000,1,field_waveforms/188.txt
189,490,489,1000,1,field_waveforms/189.txt
190,217,216,1000,1,field_waveforms/190.txt
191,559,558,1000,1,field_waveforms/191.txt
192,339,338,1000,1,field_waveforms/192.txt
193,201,200,1000,1,field_waveforms/193.txt
194,275,274,1000,1,field_waveforms/194.txt
195,103,102,1000,1,field_waveforms/195.txt
196,166,165,1000,1,field_waveforms/196.txt
197,81,80,1000,1,field_waveforms/197.txt
198,53,52,1000,1,field_waveforms/198.txt
199,264,263,1000,1,field_waveforms/199.txt
200,125,124,1000,1,field_waveforms/200.txt
201,47,46,1000,1,field_waveforms/201.txt
202,8,7,1000,1,field_waveforms/202.txt
203,6,5,1000,1,field_waveforms/203.txt
204,138,137,1000,1,field_waveforms/204.txt
205,330,329,1000,1,field_waveforms/205.txt
206,228,227,1000,1,field_waveforms/206.txt
207,140,139,1000,1,field_waveforms/207.txt
208,602,601,1000,1,field_waveforms/208.txt
209,933,932,1000,1,field_waveforms/209.txt
210,420,419,1000,1,field_waveforms/210.txt
211,598,597,1000,1,field_waveforms/211.txt
212,800,799,1000,1,field_waveforms/212.txt
213,879,878,1000,1,field_waveforms/213.txt
214,696,695,1000,1,field_waveforms/214.txt
215,483,482,1000,1,field_waveforms/215.txt
216,654,653,1000,1,field_waveforms/216.txt
217,861,860,1000,1,field_waveforms/217.txt
218,351,350,1000,1,field_waveforms/218.txt
219,670,669,1000,1,field_waveforms/219.txt
220,488,487,1000,1,field_waveforms/220.txt
221,423,422,1000,1,field_waveforms/221.txt
222,919,918,1000,1,field_waveforms/222.txt
223,486,485,1000,1,field_waveforms/223.txt
224,726,725,1000,1,field_waveforms/224.txt
225,608,607,1000,1,field_waveforms/225.txt
226,541,540,1000,1,field_waveforms/226.txt
227,363,362,1000,1,field_waveforms/227.txt
228,603,602,1000,1,field_waveforms/228.txt
229,14,13,1000,1,field_waveforms/229.txt
230,894,893,1000,1,field_waveforms/230.txt
231,861,860,1000,1,field_waveforms/231.txt
232,475,474,1000,1,field_waveforms/232.txt
233,778,777,1000,1,field_waveforms/233.txt
234,357,356,1000,1,field_waveforms/234.txt
235,890,889,1000,1,field_waveforms/235.txt
236,474,473,1000,1,field_waveforms/236.txt
237,425,424,1000,1,field_waveforms/237.txt
238,611,610,1000,1,field_waveforms/238.txt
239,492,491,1000,1,field_waveforms/239.txt
240,228,227,1000,1,field_waveforms/240.txt
241,863,862,1000,1,field_waveforms/241.txt
242,756,755,1000,1,field_waveforms/242.txt
243,261,260,1000,1,field_waveforms/243.txt
244,696,695,1000,1,field_waveforms/244.txt
245,74,73,1000,1,field_waveforms/245.txt
246,774,773,1000,1,field_waveforms/246.txt
247,334,333,1000,1,field_waveforms/247.txt
248,732,731,1000,1,field_waveforms/248.txt
249,949,948,1000,1,field_waveforms/249.txt
250,6,5,1000,1,field_waveforms/250.txt
251,899,898,1000,1,field_waveforms/251.txt
252,884,883,1000,1,field_waveforms/252.txt
253,823,822,1000,1,field_waveforms/253.txt
254,913,912,1000,1,field_waveforms/254.txt
255,805,804,1000,1,field_waveforms/255.txt
256,516,515,1000,1,field_waveforms/256.txt
257,187,186,1000,1,field_waveforms/257.txt
258,951,950,1000,1,field_waveforms/258.txt
259,765,764,1000,1,field_waveforms/259.txt
260,110,109,1000,1,field_waveforms/260.txt
261,328,327,1000,1,field_waveforms/261.txt
262,130,129,1000,1,field_waveforms/262.txt
263,380,379,1000,1,field_waveforms/263.txt
264,103,102,1000,1,field_waveforms/264.txt
265,17,16,1000,1,field_waveforms/265.txt
266,208,207,1000,1,field_waveforms/266.txt
267,228,227,1000,1,field_waveforms/267.txt
268,481,480,1000,1,field_waveforms/268.txt
269,361,360,1000,1,field_waveforms/269.txt
270,545,544,1000,1,field_waveforms/270.txt
271,382,381,1000,1,field_waveforms/271.txt
272,298,297,1000,1,field_waveforms/272.txt
273,201,200,1000,1,field_waveforms/273.txt
274,554,553,1000,1,field_waveforms/274.txt
275,446,445,1000,1,field_waveforms/275.txt
276,493,492,1000,1,field_waveforms/276.txt
277,621,620,1000,1,field_waveforms/277.txt
278,874,873,1000,1,field_waveforms/278.txt
279,841,840,1000,1,field_waveforms/279.txt
280,958,957,1000,1,field_waveforms/280.txt
281,655,654,1000,1,field_waveforms/281.txt
282,799,798,1000,1,field_waveforms/282.txt
283,363,362,1000,1,field_waveforms/283.txt
284,908,907,1000,1,field_waveforms/284.txt
285,837,836,1000,1,field_waveforms/285.txt
286,885,884,1000,1,field_waveforms/286.txt
287,716,715,1000,1,field_waveforms/287.txt
288,786,785,1000,1,field_waveforms/288.txt
289,957,956,1000,1,field_waveforms/289.txt
290,822,821,1000,1,field_waveforms/290.txt
291,874,873,1000,1,field_waveforms/291.txt
292,737,736,1000,1,field_waveforms/292.txt
293,947,946,1000,1,field_waveforms/293.txt
294,840,839,1000,1,field_waveforms/294.txt
295,864,863,1000,1,field_waveforms/295.txt
296,776,775,1000,1,field_waveforms/296.txt
297,990,989,1000,1,field_waveforms/297.txt
298,977,976,1000,1,field_waveforms/298.txt
299,605,604,1000,1,field_waveforms/299.txt
300,672,671,1000,1,field_waveforms/300.txt
301,980,979,1000,1,field_waveforms/301.txt
302,821,820,1000,1,field_waveforms/302.txt
303,703,702,1000,1,field_waveforms/303.txt
304,451,450,1000,1,field_waveforms/304.txt
305,313,312,1000,1,field_waveforms/305.txt
306,752,751,1000,1,field_waveforms/306.txt
307,223,222,1000,1,field_waveforms/307.txt
308,660,659,1000,1,field_waveforms/308.txt
309,404,403,1000,1,field_waveforms/309.txt
310,731,730,1000,1,field_waveforms/310.txt
311,844,843,1000,1,field_waveforms/311.txt
312,288,287,1000,1,field_waveforms/312.txt
313,513,512,1000,1,field_waveforms/313.txt
314,977,976,1000,1,field_waveforms/314.txt
315,374,373,1000,1,field_waveforms/315.txt
316,256,255,1000,1,field_waveforms/316.txt
317,501,500,1000,1,field_waveforms/317.txt
318,111,110,1000,1,field_waveforms/318.txt
319,281,280,1000,1,field_waveforms/319.txt
320,171,170,1000,1,field_waveforms/320.txt
321,624,623,1000,1,field_waveforms/321.txt
322,303,302,1000,1,field_waveforms/322.txt
323,618,617,1000,1,field_waveforms/323.txt
324,662,661,1000,1,field_waveforms/324.txt
325,178,177,1000,1,field_waveforms/325.txt
326,5,4,1000,1,field_waveforms/326.txt
327,158,157,1000,1,field_waveforms/327.txt
328,447,446,1000,1,field_waveforms/328.txt
329,58,57,1000,1,field_waveforms/329.txt
330,274,273,1000,1,field_waveforms/330.txt
331,287,286,1000,1,field_waveforms/331.txt
332,167,166,1000,1,field_waveforms/332.txt
333,715,714,1000,1,field_waveforms/333.txt
334,633,632,1000,1,field_waveforms/334.txt
335,93,92,1000,1,field_waveforms/335.txt
336,343,342,1000,1,field_waveforms/336.txt
337,148,147,1000,1,field_waveforms/337.txt
338,444,443,1000,1,field_waveforms/338.txt
339,216,215,1000,1,field_waveforms/339.txt
340,976,975,1000,1,field_waveforms/340.txt
341,348,347,1000,1,field_waveforms/341.txt
342,833,832,1000,1,field_waveforms/342.txt
343,32,31,1000,1,field_waveforms/343.txt
344,317,316,1000,1,field_waveforms/344.txt
345,636,635,1000,1,field_waveforms/345.txt
346,502,501,1000,1,field_waveforms/346.txt
347,827,826,1000,1,field_waveforms/347.txt
348,172,171,1000,1,field_waveforms/348.txt
349,826,825,1000,1,field_waveforms/349.txt
350,38,37,1000,1,field_waveforms/350.txt
351,315,314,1000,1,field_waveforms/351.txt
352,350,349,1000,1,field_waveforms/352.txt
353,545,544,1000,1,field_waveforms/353.txt
354,175,174,1000,1,field_waveforms/354.txt
355,83,82,1000,1,field_waveforms/355.txt
356,42,41,1000,1,field_waveforms/356.txt
357,18,17,1000,1,field_waveforms/357.txt
358,208,207,1000,1,field_waveforms/358.txt
359,570,569,1000,1,field_waveforms/359.txt
360,277,276,1000,1,field_waveforms/360.txt
361,338,337,1000,1,field_waveforms/361.txt
362,76,75,1000,1,field_waveforms/362.txt
363,651,650,1000,1,field_waveforms/363.txt
364,182,181,1000,1,field_waveforms/364.txt
365,818,817,1000,1,field_waveforms/365.txt
366,646,645,1000,1,field_waveforms/366.txt
367,867,866,1000,1,field_waveforms/367.txt
368,637,636,1000,1,field_waveforms/368.txt
369,787,786,1000,1,field_waveforms/369.txt
370,137,136,1000,1,field_waveforms/370.txt
371,721,720,1000,1,field_waveforms/371.txt
372,12,11,1000,1,field_waveforms/372.txt
373,291,290,1000,1,field_waveforms/373.txt
374,166,165,1000,1,field_waveforms/374.txt
375,375,374,1000,1,field_waveforms/375.txt
376,212,211,1000,1,field_waveforms/376.txt
377,102,101,1000,1,field_waveforms/377.txt
378,172,171,1000,1,field_waveforms/378.txt
379,388,387,1000,1,field_waveforms/379.txt
380,335,334,1000,1,field_waveforms/380.txt
381,221,220,1000,1,field_waveforms/381.txt
382,309,308,1000,1,field_waveforms/382.txt
383,354,353,1000,1,field_waveforms/383.txt
384,418,417,1000,1,field_waveforms/384.txt
385,1,0,1000,1,field_waveforms/385.txt
386,326,325,1000,1,field_waveforms/386.txt
387,236,235,1000,1,field_waveforms/387.txt
388,228,227,1000,1,field_waveforms/388.txt
389,58,57,1000,1,field_waveforms/389.txt
390,63,62,1000,1,field_waveforms/390.txt
391,189,188,1000,1,field_waveforms/391.txt
392,29,28,1000,1,field_waveforms/392.txt
393,87,86,1000,1,field_waveforms/393.txt
394,125,124,1000,1,field_waveforms/394.txt
395,142,141,1000,1,field_waveforms/395.txt
396,50,49,1000,1,field_waveforms/396.txt
397,182,181,1000,1,field_waveforms/397.txt
398,581,580,1000,1,field_waveforms/398.txt
399,136,135,1000,1,field_waveforms/399.txt
400,304,303,1000,1,field_waveforms/400.txt
401,553,552,1000,1,field_waveforms/401.txt
402,104,103,1000,1,field_waveforms/402.txt
403,267,266,1000,1,field_waveforms/403.txt
404,623,622,1000,1,field_waveforms/404.txt
405,173,172,1000,1,field_waveforms/405.txt
406,165,164,1000,1,field_waveforms/406.txt
407,48,47,1000,1,field_waveforms/407.txt
408,656,655,1000,1,field_waveforms/408.txt
409,83,82,1000,1,field_waveforms/409.txt
410,258,257,1000,1,field_waveforms/410.txt
411,90,89,1000,1,field_waveforms/411.txt
412,404,403,1000,1,field_waveforms/412.txt
413,91,90,1000,1,field_waveforms/413.txt
414,434,433,1000,1,field_waveforms/414.txt
415,243,242,1000,1,field_waveforms/415.txt
416,241,240,1000,1,field_waveforms/416.txt
417,210,209,1000,1,field_waveforms/417.txt
418,266,265,1000,1,field_waveforms/418.txt
419,9,8,1000,1,field_waveforms/419.txt
420,342,341,1000,1,field_waveforms/420.txt
421,290,289,1000,1,field_waveforms/421.txt
422,854,853,1000,1,field_waveforms/422.txt
423,746,745,1000,1,field_waveforms/423.txt
424,498,497,1000,1,field_waveforms/424.txt
425,806,805,1000,1,field_waveforms/425.txt
426,927,926,1000,1,field_waveforms/426.txt
427,996,995,1000,1,field_waveforms/427.txt
428,131,130,1000,1,field_waveforms/428.txt
429,718,717,1000,1,field_waveforms/429.txt
430,721,720,1000,1,field_waveforms/430.txt
431,675,674,1000,1,field_waveforms/431.txt
432,737,736,1000,1,field_waveforms/432.txt
433,278,277,1000,1,field_waveforms/433.txt
434,108,107,1000,1,field_waveforms/434.txt
435,182,181,1000,1,field_waveforms/435.txt
436,380,379,1000,1,field_waveforms/436.txt
437,143,142,1000,1,field_waveforms/437.txt
438,106,105,1000,1,field_waveforms/438.txt
439,213,212,1000,1,field_waveforms/439.txt
440,472,471,1000,1,field_waveforms/440.txt
441,391,390,1000,1,field_waveforms/441.txt
442,17,16,1000,1,field_waveforms/442.txt
443,32,31,1000,1,field_waveforms/443.txt
444,310,309,1000,1,field_waveforms/444.txt
445,202,201,1000,1,field_waveforms/445.txt
446,29,28,1000,1,field_waveforms/446.txt
447,16,15,1000,1,field_waveforms/447.txt
448,240,239,1000,1,field_waveforms/448.txt
449,313,312,1000,1,field_waveforms/449.txt
450,0,-1,1000,1,field_waveforms/450.txt
451,1,0,1000,1,field_waveforms/451.txt
452,16,15,1000,1,field_waveforms/452.txt
453,38,37,1000,1,field_waveforms/453.txt
454,32,31,1000,1,field_waveforms/454.txt
455,31,30,1000,1,field_waveforms/455.txt
456,20,19,1000,1,field_waveforms/456.txt
457,8,7,1000,1,field_waveforms/457.txt
458,12,11,1000,1,field_waveforms/458.txt
459,14,13,1000,1,field_waveforms/459.txt
460,113,112,1000,1,field_waveforms/460.txt
461,106,105,1000,1,field_waveforms/461.txt
462,17,16,1000,1,field_waveforms/462.txt
463,27,26,1000,1,field_waveforms/463.txt
464,58,57,1000,1,field_waveforms/464.txt
465,41,40,1000,1,field_waveforms/465.txt
466,70,69,1000,1,field_waveforms/466.txt
467,3,2,1000,1,field_waveforms/467.txt
468,107,106,1000,1,field_waveforms/468.txt
469,35,34,1000,1,field_waveforms/469.txt
470,94,93,1000,1,field_waveforms/470.txt
471,4,3,1000,1,field_waveforms/471.txt
472,14,13,1000,1,field_waveforms/472.txt
473,126,125,1000,1,field_waveforms/473.txt
474,115,114,1000,1,field_waveforms/474.txt
475,60,59,1000,1,field_waveforms/475.txt
476,104,103,1000,1,field_waveforms/476.txt
477,45,44,1000,1,field_waveforms/477.txt
478,101,100,1000,1,field_waveforms/478.txt
479,44,43,1000,1,field_waveforms/479.txt
480,29,28,1000,1,field_waveforms/480.txt
481,37,36,1000,1,field_waveforms/481.txt
482,46,45,1000,1,field_waveforms/482.txt
483,15,14,1000,1,field_waveforms/483.txt
484,23,22,1000,1,field_waveforms/484.txt
485,4,3,1000,1,field_waveforms/485.txt
486,50,49,1000,1,field_waveforms/486.txt
487,41,40,1000,1,field_waveforms/487.txt
488,35,34,1000,1,field_waveforms/488.txt
489,23,22,1000,1,field_waveforms/489.txt
490,10,9,1000,1,field_waveforms/490.txt
491,20,19,1000,1,field_waveforms/491.txt
492,14,13,1000,1,field_waveforms/492.txt
493,38,37,1000,1,field_waveforms/493.txt
494,125,124,1000,1,field_waveforms/494.txt
495,286,285,1000,1,field_waveforms/495.txt
496,808,807,1000,1,field_waveforms/496.txt
497,290,289,1000,1,field_waveforms/497.txt
498,625,624,1000,1,field_waveforms/498.txt
499,259,258,1000,1,field_waveforms/499.txt
500,16,15,1000,1,field_waveforms/500.txt
501,191,190,1000,1,field_waveforms/501.txt
502,303,302,1000,1,field_waveforms/502.txt
503,246,245,1000,1,field_waveforms/503.txt
504,267,266,1000,1,field_waveforms/504.txt
505,265,264,1000,1,field_waveforms/505.txt
506,252,251,1000,1,field_waveforms/506.txt
507,232,231,1000,1,field_waveforms/507.txt
508,8,7,1000,1,field_waveforms/508.txt
509,310,309,1000,1,field_waveforms/509.txt
510,359,358,1000,1,field_waveforms/510.txt
511,138,137,1000,1,field_waveforms/511.txt
512,133,132,1000,1,field_waveforms/512.txt
513,228,227,1000,1,field_waveforms/513.txt
514,188,187,1000,1,field_waveforms/514.txt
515,158,157,1000,1,field_waveforms/515.txt
516,200,199,1000,1,field_waveforms/516.txt
517,317,316,1000,1,field_waveforms/517.txt
518,67,66,1000,1,field_waveforms/518.txt
519,287,286,1000,1,field_waveforms/519.txt
520,260,259,1000,1,field_waveforms/520.txt
521,279,278,1000,1,field_waveforms/521.txt
522,349,348,1000,1,field_waveforms/522.txt
523,119,118,1000,1,field_waveforms/523.txt
524,140,139,1000,1,field_waveforms/524.txt
525,247,246,1000,1,field_waveforms/525.txt
526,93,92,1000,1,field_waveforms/526.txt
527,245,244,1000,1,field_waveforms/527.txt
528,289,288,1000,1,field_waveforms/528.txt
529,12,11,1000,1,field_waveforms/529.txt
530,287,286,1000,1,field_waveforms/530.txt
531,179,178,1000,1,field_waveforms/531.txt
532,557,556,1000,1,field_waveforms/532.txt
533,34,33,1000,1,field_waveforms/533.txt
534,666,665,1000,1,field_waveforms/534.txt
535,401,400,1000,1,field_waveforms/535.txt
536,121,120,1000,1,field_waveforms/536.txt
537,32,31,1000,1,field_waveforms/537.txt
538,551,550,1000,1,field_waveforms/538.txt
539,649,648,1000,1,field_waveforms/539.txt
540,208,207,1000,1,field_waveforms/540.txt
541,526,525,1000,1,field_waveforms/541.txt
542,476,475,1000,1,field_waveforms/542.txt
543,618,617,1000,1,field_waveforms/543.txt
544,119,118,1000,1,field_waveforms/544.txt
545,43,42,1000,1,field_waveforms/545.txt
546,624,623,1000,1,field_waveforms/546.txt
547,360,359,1000,1,field_waveforms/547.txt
548,321,320,1000,1,field_waveforms/548.txt
549,700,699,1000,1,field_waveforms/549.txt
550,453,452,1000,1,field_waveforms/550.txt
551,1,0,1000,1,field_waveforms/551.txt
552,307,306,1000,1,field_waveforms/552.txt
553,108,107,1000,1,field_waveforms/553.txt
554,253,252,1000,1,field_waveforms/554.txt
555,311,310,1000,1,field_waveforms/555.txt
556,918,917,1000,1,field_waveforms/556.txt
557,100,99,1000,1,field_waveforms/557.txt
558,707,706,1000,1,field_waveforms/558.txt
559,707,706,1000,1,field_waveforms/559.txt
560,803,802,1000,1,field_waveforms/560.txt
561,952,951,1000,1,field_waveforms/561.txt
562,803,802,1000,1,field_waveforms/562.txt
563,776,775,1000,1,field_waveforms/563.txt
564,303,302,1000,1,field_waveforms/564.txt
565,12,11,1000,1,field_waveforms/565.txt
566,630,629,1000,1,field_waveforms/566.txt
567,104,103,1000,1,field_waveforms/567.txt
568,536,535,1000,1,field_waveforms/568.txt
569,55,54,1000,1,field_waveforms/569.txt
570,313,312,1000,1,field_waveforms/570.txt
571,641,640,1000,1,field_waveforms/571.txt
572,266,265,1000,1,field_waveforms/572.txt
573,151,150,1000,1,field_waveforms/573.txt
574,607,606,1000,1,field_waveforms/574.txt
575,353,352,1000,1,field_waveforms/575.txt
576,829,828,1000,1,field_waveforms/576.txt
577,654,653,1000,1,field_waveforms/577.txt
578,144,143,1000,1,field_waveforms/578.txt
579,712,711,1000,1,field_waveforms/579.txt
580,634,633,1000,1,field_waveforms/580.txt
581,239,238,1000,1,field_waveforms/581.txt
582,731,730,1000,1,field_waveforms/582.txt
583,622,621,1000,1,field_waveforms/583.txt
584,190,189,1000,1,field_waveforms/584.txt
585,120,119,1000,1,field_waveforms/585.txt
586,936,935,1000,1,field_waveforms/586.txt
587,285,284,1000,1,field_waveforms/587.txt
588,653,652,1000,1,field_waveforms/588.txt
589,830,829,1000,1,field_waveforms/589.txt
590,638,637,1000,1,field_waveforms/590.txt
591,367,366,1000,1,field_waveforms/591.txt
592,648,647,1000,1,field_waveforms/592.txt
593,303,302,1000,1,field_waveforms/593.txt
594,801,800,1000,1,field_waveforms/594.txt
595,847,846,1000,1,field_waveforms/595.txt
596,142,141,1000,1,field_waveforms/596.txt
597,120,119,1000,1,field_waveforms/597.txt
598,24,23,1000,1,field_waveforms/598.txt
599,239,238,1000,1,field_waveforms/599.txt
600,763,762,1000,1,field_waveforms/600.txt
601,473,472,1000,1,field_waveforms/601.txt
602,479,478,1000,1,field_waveforms/602.txt
603,349,348,1000,1,field_waveforms/603.txt
604,163,162,1000,1,field_waveforms/604.txt
