condition,frequency_hz,snr_db,repeat,true_arrival,predicted_arrival,success,cluster_num,stop_reason,error_ms,abs_error_ms,hit_le2,hit_le5,hit_le10,target_snr_db,snr_definition,noise_source_id,noise_start_sample
Recorded background noise,100,-10.0,14,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,499,3901
WGN,100,-10.0,15,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,15,288,292.0,True,3,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,639,4700
WGN,100,-10.0,16,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,16,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,423,3092
WGN,100,-10.0,17,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,17,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,222,986
WGN,100,-10.0,18,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,18,288,295.0,True,5,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,460,1646
WGN,100,-10.0,19,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,19,288,281.0,True,9,unique_valid_peak,-7.0,7.0,False,False,True,-10.0,full_trace_mean_square,756,1834
WGN,100,-10.0,20,288,296.0,True,3,unique_valid_peak,8.0,8.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,20,288,291.0,True,2,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,321,3129
WGN,100,-10.0,21,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,21,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,187,1065
WGN,100,-10.0,22,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,22,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,176,5039
WGN,100,-10.0,23,288,290.0,True,2,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,23,288,291.0,True,3,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,889,775
WGN,100,-10.0,24,288,289.0,True,3,unique_valid_peak,1.0,1.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,24,288,295.0,True,5,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,466,885
WGN,100,-10.0,25,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,25,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,863,2681
WGN,100,-10.0,26,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,26,288,292.0,True,2,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,114,1704
WGN,100,-10.0,27,288,295.0,True,6,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,27,288,293.0,True,3,unique_valid_peak,5.0,5.0,False,True,True,-10.0,full_trace_mean_square,288,2648
WGN,100,-10.0,28,288,294.0,True,4,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,28,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,346,1242
WGN,100,-10.0,29,288,293.0,True,2,unique_valid_peak,5.0,5.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,29,288,294.0,True,4,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,840,3603
WGN,100,-10.0,30,288,294.0,True,4,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,30,288,292.0,True,2,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,118,1981
WGN,100,-10.0,31,288,291.0,True,3,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,31,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,42,1529
WGN,100,-10.0,32,288,296.0,True,3,unique_valid_peak,8.0,8.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,32,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,25,4594
WGN,100,-10.0,33,288,291.0,True,2,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,33,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,406,4656
WGN,100,-10.0,34,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,34,288,120.0,True,3,unique_valid_peak,-168.0,168.0,False,False,False,-10.0,full_trace_mean_square,862,201
WGN,100,-10.0,35,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,35,288,296.0,True,10,unique_valid_peak,8.0,8.0,False,False,True,-10.0,full_trace_mean_square,233,4895
WGN,100,-10.0,36,288,292.0,True,2,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,36,288,295.0,True,5,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,102,850
WGN,100,-10.0,37,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,37,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,519,2671
WGN,100,-10.0,38,288,289.0,True,3,unique_valid_peak,1.0,1.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,38,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,757,1960
WGN,100,-10.0,39,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,39,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,19,2050
WGN,100,-10.0,40,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,40,288,294.0,True,4,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,733,713
WGN,100,-10.0,41,288,290.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,41,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,70,2763
WGN,100,-10.0,42,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,42,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,455,3889
WGN,100,-10.0,43,288,293.0,True,3,unique_valid_peak,5.0,5.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,43,288,294.0,True,5,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,917,1358
WGN,100,-10.0,44,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,44,288,292.0,True,2,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,18,1192
WGN,100,-10.0,45,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,45,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,444,3091
WGN,100,-10.0,46,288,292.0,True,2,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,46,288,295.0,True,7,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,199,30
WGN,100,-10.0,47,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,47,288,294.0,True,4,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,401,5173
WGN,100,-10.0,48,288,249.0,True,2,unique_valid_peak,-39.0,39.0,False,False,False,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,48,288,294.0,True,5,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,296,3654
WGN,100,-10.0,49,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,49,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,745,4168
WGN,100,-10.0,50,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,50,288,,False,10,multiple_valid_peaks_at_cmax,,,False,False,False,-10.0,full_trace_mean_square,939,929
WGN,100,-10.0,51,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,51,288,354.0,True,8,unique_valid_peak,66.0,66.0,False,False,False,-10.0,full_trace_mean_square,556,2959
WGN,100,-10.0,52,288,291.0,True,3,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,52,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,242,2717
WGN,100,-10.0,53,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,53,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,617,4821
WGN,100,-10.0,54,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,54,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,680,4611
WGN,100,-10.0,55,288,290.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,55,288,293.0,True,2,unique_valid_peak,5.0,5.0,False,True,True,-10.0,full_trace_mean_square,235,3681
WGN,100,-10.0,56,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,56,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,197,1583
WGN,100,-10.0,57,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,57,288,290.0,True,2,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,236,2401
WGN,100,-10.0,58,288,292.0,True,3,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,58,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,756,2823
WGN,100,-10.0,59,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,59,288,296.0,True,5,unique_valid_peak,8.0,8.0,False,False,True,-10.0,full_trace_mean_square,312,3572
WGN,100,-10.0,60,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,60,288,196.0,True,3,unique_valid_peak,-92.0,92.0,False,False,False,-10.0,full_trace_mean_square,540,4428
WGN,100,-10.0,61,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,61,288,290.0,True,2,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,495,4142
WGN,100,-10.0,62,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,62,288,,False,10,multiple_valid_peaks_at_cmax,,,False,False,False,-10.0,full_trace_mean_square,285,482
WGN,100,-10.0,63,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,63,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,241,1118
WGN,100,-10.0,64,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,64,288,,False,10,multiple_valid_peaks_at_cmax,,,False,False,False,-10.0,full_trace_mean_square,585,3126
WGN,100,-10.0,65,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,65,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,774,5166
WGN,100,-10.0,66,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,66,288,295.0,True,4,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,346,2319
WGN,100,-10.0,67,288,292.0,True,2,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,67,288,295.0,True,7,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,914,3876
WGN,100,-10.0,68,288,289.0,True,2,unique_valid_peak,1.0,1.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,68,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,862,3662
WGN,100,-10.0,69,288,291.0,True,2,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,69,288,295.0,True,8,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,173,1991
WGN,100,-10.0,70,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,70,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,364,2704
WGN,100,-10.0,71,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,71,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,12,1950
WGN,100,-10.0,72,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,72,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,347,758
WGN,100,-10.0,73,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,73,288,,False,10,multiple_valid_peaks_at_cmax,,,False,False,False,-10.0,full_trace_mean_square,960,4992
WGN,100,-10.0,74,288,291.0,True,3,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,74,288,146.0,True,4,unique_valid_peak,-142.0,142.0,False,False,False,-10.0,full_trace_mean_square,556,1656
WGN,100,-10.0,75,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,75,288,291.0,True,2,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,286,2015
WGN,100,-10.0,76,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,76,288,291.0,True,4,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,981,3590
WGN,100,-10.0,77,288,291.0,True,3,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,77,288,,False,10,multiple_valid_peaks_at_cmax,,,False,False,False,-10.0,full_trace_mean_square,748,636
WGN,100,-10.0,78,288,258.0,True,2,unique_valid_peak,-30.0,30.0,False,False,False,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,78,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,121,859
WGN,100,-10.0,79,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,79,288,,False,10,multiple_valid_peaks_at_cmax,,,False,False,False,-10.0,full_trace_mean_square,840,646
WGN,100,-10.0,80,288,295.0,True,4,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,80,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,763,4834
WGN,100,-10.0,81,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,81,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,687,4741
WGN,100,-10.0,82,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,82,288,295.0,True,4,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,758,3498
WGN,100,-10.0,83,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,83,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,588,742
WGN,100,-10.0,84,288,291.0,True,2,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,84,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,472,4785
WGN,100,-10.0,85,288,291.0,True,2,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,85,288,401.0,True,3,unique_valid_peak,113.0,113.0,False,False,False,-10.0,full_trace_mean_square,787,2794
WGN,100,-10.0,86,288,292.0,True,3,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,86,288,295.0,True,7,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,416,4118
WGN,100,-10.0,87,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,87,288,290.0,True,2,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,616,5496
WGN,100,-10.0,88,288,290.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,88,288,,False,10,multiple_valid_peaks_at_cmax,,,False,False,False,-10.0,full_trace_mean_square,427,4576
WGN,100,-10.0,89,288,292.0,True,3,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,89,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,143,2591
WGN,100,-10.0,90,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,90,288,296.0,True,5,unique_valid_peak,8.0,8.0,False,False,True,-10.0,full_trace_mean_square,589,1145
WGN,100,-10.0,91,288,289.0,True,3,unique_valid_peak,1.0,1.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,91,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,491,1301
WGN,100,-10.0,92,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,92,288,,False,10,multiple_valid_peaks_at_cmax,,,False,False,False,-10.0,full_trace_mean_square,820,1432
WGN,100,-10.0,93,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,93,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,293,5037
WGN,100,-10.0,94,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,94,288,290.0,True,4,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,614,1815
WGN,100,-10.0,95,288,292.0,True,4,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,95,288,296.0,True,7,unique_valid_peak,8.0,8.0,False,False,True,-10.0,full_trace_mean_square,958,4616
WGN,100,-10.0,96,288,291.0,True,3,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,96,288,,False,10,multiple_valid_peaks_at_cmax,,,False,False,False,-10.0,full_trace_mean_square,831,4246
WGN,100,-10.0,97,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,97,288,243.0,True,6,unique_valid_peak,-45.0,45.0,False,False,False,-10.0,full_trace_mean_square,429,5178
WGN,100,-10.0,98,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,98,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,804,119
WGN,100,-10.0,99,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,99,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,148,3044
WGN,100,-10.0,100,288,291.0,True,3,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
