metric,snr_db,feature,score,source_file
pearson,4,P,0.7600127956553763,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,4,SLTA,0.7758446823914398,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,4,Std,0.825001466179569,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,4,S,0.05433852803377593,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,4,K,0.2645106048586102,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,6,M,0.8078817462164029,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,6,P,0.7592101307479503,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,6,SLTA,0.7786534547063017,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,6,Std,0.8293126324456446,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,6,S,0.0641202256982508,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,6,K,0.28799617646114944,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
spearman,-10,M,0.3273750897396293,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-10,P,0.3373092612966066,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-10,SLTA,0.3597903467945699,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-10,Std,0.32992397919414473,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-10,S,0.05629475904970433,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-10,K,0.07456677892632319,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-8,M,0.33613862425589375,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-8,P,0.3464928808753278,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-8,SLTA,0.36657406708759366,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-8,Std,0.34143393649651527,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-8,S,0.05704008330273871,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-8,K,0.07635167368058386,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-6,M,0.34126067474631094,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-6,P,0.35101598341891765,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-6,SLTA,0.36682723835190095,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-6,Std,0.3480884572947746,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-6,S,0.05077652166927244,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-6,K,0.08695387383910345,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-4,M,0.3529573365208845,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-4,P,0.3598388899573427,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-4,SLTA,0.36670065271974733,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-4,Std,0.3561111484653376,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-4,S,0.04761337450120921,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-4,K,0.0951016570060424,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-2,M,0.35739604864303864,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-2,P,0.3649657947640371,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-2,SLTA,0.36617750678863453,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-2,Std,0.3631170470802829,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-2,S,0.038590694177527,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,-2,K,0.1018898582063991,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,0,M,0.36604569343125926,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,0,P,0.37240111366504935,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,0,SLTA,0.36628542197356784,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,0,Std,0.3696845635944957,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,0,S,0.02844704020273798,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,0,K,0.10865490805220261,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,2,M,0.36912893108521955,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,2,P,0.3754417826993474,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,2,SLTA,0.36584853350861285,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,2,Std,0.3740030380365511,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,2,S,0.023010952790075416,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,2,K,0.12154535822204218,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,4,M,0.376746473551102,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,4,P,0.3816048973267685,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,4,SLTA,0.3653825191459941,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,4,Std,0.38004778202859546,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,4,S,0.019592393904038476,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,4,K,0.12081422350889523,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,6,M,0.38149138100766905,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,6,P,0.3871152931193679,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,6,SLTA,0.36528057850417134,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,6,Std,0.38641477793966217,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,6,S,0.0157485222303231,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
spearman,6,K,0.1309112013656335,Fig_3\results_feature_relevance_global_snr_100hz\spearman_by_snr.csv
mutual_information,-10,M,0.11968086762337654,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-10,P,0.13218058039500508,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-10,SLTA,0.15133557521207236,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-10,Std,0.12929575777727553,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-10,S,0.016236697324071334,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-10,K,0.010621001233662684,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-8,M,0.12928361099099822,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-8,P,0.14340695107823143,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-8,SLTA,0.15878723959311666,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-8,Std,0.1379363507485515,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-8,S,0.020819536947156145,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-8,K,0.011341918056389044,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-6,M,0.13880122266802344,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-6,P,0.15019684315244283,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-6,SLTA,0.16231535050071455,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-6,Std,0.1478064846195475,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-6,S,0.028923020027022642,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-6,K,0.013797679308589692,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-4,M,0.14726558690378092,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-4,P,0.15485893764981687,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-4,SLTA,0.16336225787887265,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-4,Std,0.15463263700827057,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-4,S,0.03622013349607403,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-4,K,0.016585833489467797,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-2,M,0.15154473093158433,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-2,P,0.1572493261123307,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-2,SLTA,0.16379520991201343,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-2,Std,0.15925496229309843,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-2,S,0.04505246619544947,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,-2,K,0.01976307954758506,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,0,M,0.15821814217250693,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,0,P,0.16207519170251863,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,0,SLTA,0.1639957230186214,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,0,Std,0.16521719741105712,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,0,S,0.053652132089501654,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,0,K,0.024635206227965858,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,2,M,0.16094878943454988,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,2,P,0.16515019526614516,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,2,SLTA,0.1640793492486518,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,2,Std,0.1682791370704036,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,2,S,0.061253660128222406,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,2,K,0.026308322378857215,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,4,M,0.1656635099315217,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,4,P,0.17035589439216206,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,4,SLTA,0.16428623610960988,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,4,Std,0.1723275001593841,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,4,S,0.06782629490264541,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,4,K,0.031405628824816574,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,6,M,0.17022871035680406,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,6,P,0.1748504137854155,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,6,SLTA,0.1639764127356781,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,6,Std,0.17662320240610854,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,6,S,0.07575208644257339,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
mutual_information,6,K,0.03191145835434213,Fig_3\results_feature_relevance_global_snr_100hz\mutual_information_by_snr.csv
