experiment_id,frequency_hz,snr_db,repeat_id,seed,waveform,noise_type,noise_source_id,sample_rate_hz,sample_interval_ms,n_samples,reference_arrival_sample,reference_arrival_ms,reference_method,source_file
100_-10.0_14,100,-10.0,14,3295871950,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_15,100,-10.0,15,1297074382,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_16,100,-10.0,16,3215563385,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_17,100,-10.0,17,1307110349,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_18,100,-10.0,18,610128799,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_19,100,-10.0,19,264955535,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_20,100,-10.0,20,1585617531,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_21,100,-10.0,21,3523706142,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_22,100,-10.0,22,3021360988,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_23,100,-10.0,23,2605615079,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_24,100,-10.0,24,1117262687,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_25,100,-10.0,25,1982082693,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_26,100,-10.0,26,725104754,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_27,100,-10.0,27,2017918315,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_28,100,-10.0,28,2512306136,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_29,100,-10.0,29,3734087972,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_30,100,-10.0,30,2031677799,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_31,100,-10.0,31,1529033994,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_32,100,-10.0,32,1054904213,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_33,100,-10.0,33,3770052635,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_34,100,-10.0,34,3304252083,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_35,100,-10.0,35,3000241809,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_36,100,-10.0,36,439964667,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_37,100,-10.0,37,8738977,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_38,100,-10.0,38,395446981,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_39,100,-10.0,39,1178773752,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_40,100,-10.0,40,3152229494,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_41,100,-10.0,41,3821989113,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_42,100,-10.0,42,2918812666,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_43,100,-10.0,43,3414978100,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_44,100,-10.0,44,210888858,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_45,100,-10.0,45,774945823,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_46,100,-10.0,46,2812292110,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_47,100,-10.0,47,1331285179,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_48,100,-10.0,48,2041249878,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_49,100,-10.0,49,3999033554,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_50,100,-10.0,50,1313789035,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_51,100,-10.0,51,1482074987,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_52,100,-10.0,52,143048269,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_53,100,-10.0,53,1066684088,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_54,100,-10.0,54,3100572967,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_55,100,-10.0,55,1746997072,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_56,100,-10.0,56,3597157218,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_57,100,-10.0,57,1418217191,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_58,100,-10.0,58,3821503720,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_59,100,-10.0,59,3737741894,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_60,100,-10.0,60,765798204,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_61,100,-10.0,61,2828013663,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_62,100,-10.0,62,3723051137,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_63,100,-10.0,63,2647062579,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_64,100,-10.0,64,2326735196,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_65,100,-10.0,65,2281912710,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_66,100,-10.0,66,3616425042,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_67,100,-10.0,67,3850661378,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_68,100,-10.0,68,486693484,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_69,100,-10.0,69,3378628463,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_70,100,-10.0,70,3087754340,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_71,100,-10.0,71,2765805392,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_72,100,-10.0,72,2256829030,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_73,100,-10.0,73,2051966371,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_74,100,-10.0,74,3454165393,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_75,100,-10.0,75,380484544,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_76,100,-10.0,76,3534593648,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_77,100,-10.0,77,4013433817,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_78,100,-10.0,78,2813003284,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_79,100,-10.0,79,1750226781,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_80,100,-10.0,80,3067354628,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_81,100,-10.0,81,109686842,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_82,100,-10.0,82,3884049539,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_83,100,-10.0,83,2419132615,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_84,100,-10.0,84,572901189,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_85,100,-10.0,85,3322371372,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_86,100,-10.0,86,800172406,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_87,100,-10.0,87,4219936306,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_88,100,-10.0,88,848721859,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_89,100,-10.0,89,662912106,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_90,100,-10.0,90,590301241,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_91,100,-10.0,91,2939827334,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_92,100,-10.0,92,3732336685,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_93,100,-10.0,93,3652567467,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_94,100,-10.0,94,2408787008,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_95,100,-10.0,95,3306774511,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_96,100,-10.0,96,2089175742,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_97,100,-10.0,97,1560035470,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_98,100,-10.0,98,546098383,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_99,100,-10.0,99,2932588314,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_100,100,-10.0,100,2878908735,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_101,100,-10.0,101,3142588963,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_102,100,-10.0,102,2026769271,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_103,100,-10.0,103,587418126,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_104,100,-10.0,104,2713249438,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_105,100,-10.0,105,3755388573,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_106,100,-10.0,106,4045411826,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_107,100,-10.0,107,3784361447,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_108,100,-10.0,108,3584800043,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_109,100,-10.0,109,4207719658,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_110,100,-10.0,110,1630275797,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_111,100,-10.0,111,498653751,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_112,100,-10.0,112,3269380911,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_113,100,-10.0,113,1176345268,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_114,100,-10.0,114,3859113008,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_115,100,-10.0,115,2225383257,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_116,100,-10.0,116,1351422511,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_117,100,-10.0,117,3174758376,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_118,100,-10.0,118,1853399382,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_119,100,-10.0,119,2420725757,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_120,100,-10.0,120,2740824243,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_121,100,-10.0,121,182487068,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_122,100,-10.0,122,1906250693,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_123,100,-10.0,123,2603485835,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_124,100,-10.0,124,2806507646,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_125,100,-10.0,125,3175017470,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_126,100,-10.0,126,394417196,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_127,100,-10.0,127,1404900548,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_128,100,-10.0,128,1432619754,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_129,100,-10.0,129,2445824448,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_130,100,-10.0,130,383875380,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_131,100,-10.0,131,2145501049,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_132,100,-10.0,132,4035281190,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_133,100,-10.0,133,3900368896,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_134,100,-10.0,134,2201865683,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_135,100,-10.0,135,2198129785,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_136,100,-10.0,136,3395645279,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_137,100,-10.0,137,3702406461,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_138,100,-10.0,138,720375782,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_139,100,-10.0,139,31076656,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_140,100,-10.0,140,962833270,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_141,100,-10.0,141,2381575004,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_142,100,-10.0,142,2263386588,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_143,100,-10.0,143,2150170252,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_144,100,-10.0,144,585458417,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_145,100,-10.0,145,4163351050,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_146,100,-10.0,146,1731236627,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_147,100,-10.0,147,1418255223,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_148,100,-10.0,148,2202686156,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_149,100,-10.0,149,572174628,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_150,100,-10.0,150,1242203937,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_151,100,-10.0,151,374196752,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_152,100,-10.0,152,2073157370,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_153,100,-10.0,153,2635885312,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_154,100,-10.0,154,4246402726,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_155,100,-10.0,155,2906460057,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_156,100,-10.0,156,3970279792,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_157,100,-10.0,157,204314111,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_158,100,-10.0,158,941226867,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_159,100,-10.0,159,3420228552,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_160,100,-10.0,160,117710113,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_161,100,-10.0,161,641614394,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_162,100,-10.0,162,1286239673,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_163,100,-10.0,163,267932417,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_164,100,-10.0,164,2397872863,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_165,100,-10.0,165,275403186,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_166,100,-10.0,166,2982519875,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_167,100,-10.0,167,3814917092,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_168,100,-10.0,168,1882817902,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_169,100,-10.0,169,3806575640,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
